Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бевз,Пармен,Демʼянович,Чоловік,05.11.1959,Диригент,хутір Одеса,"сквер Аркадійська, буд. 39, Галич, 59738",928-26-21,zatulasnizhana@example.org
Бездітко,Леонід,Хомович,Чоловік,24.12.1967,Дипломат,село Пирятин,"парк Урожайна, буд. 24, Гола Пристань, 24550",+380 50 378-86-31,lukian92@example.org
Тимченко,Зорян,Йосипович,Чоловік,22.07.1950,Круп'є,хутір Володимир-Волинський,"набережна Садова 1-ша, буд. 081, Коростишів, 77102",+380 (59) 400-57-59,eisaievych@example.org
Саєнко,Андрій,Артемович,Чоловік,29.09.1943,Няня,хутір Теребовля,"узвіз Лінія 42-га, буд. 968 кв. 46, Комарно, 36119",+380 30 203-05-81,mykolai25@example.net
Остапчук,Ігор,Максимович,Чоловік,17.12.1992,Кушнір,місто Новгород-Сіверський,"провулок 10-та Лінія Марії Демченко, буд. 481 кв. 5, Кременець, 06756",042 272-75-36,pylyp28@example.com
Саченко,Охрім,Бориславович,Чоловік,30.08.1977,Льотчик,село Шахтарськ,"набережна Мацієвської, буд. 171 кв. 163, Яворів, 45848",+380 (25) 632-19-55,lukianrubets@example.com
Іщак,Миколай,Макарович,Чоловік,02.10.1986,Електромонтер,село Соледар,"парк Політкаторжан, буд. 39 кв. 31, Вишгород, 92293",012 786 81 45,leopold03@example.org
Атаманчук,Адам,Антонович,Чоловік,01.12.1985,Сантехнік,селище Очаків,"провулок Побратимів, буд. 95 кв. 864, Мукачево, 30122",+380 63 491 05 47,anastasiia63@example.net
Дубас,Омелян,Ааронович,Чоловік,10.07.2006,Паблік рилейшнз,місто Фастів,"шосе Новгородська, буд. 29 кв. 4, Селидове, 71631",+380 (47) 816-09-83,sahalmyron@example.org
Масоха,Кирило,Єфремович,Чоловік,30.01.1990,Зоолог,хутір Костопіль,"парк ПшеничнаРадищева, буд. 841, Новоукраїнка, 44533",+380 (47) 843-96-23,kabaliukvalentyn@example.net
Іваничук,Пантелеймон,Амвросійович,Чоловік,18.12.2003,Мистецтвознавець,село Дергачі,"проспект Абрикосовий, буд. 1, Васильків, 07152",+380 60 089 68 90,mvysochan@example.org
Козак,Амвросій,Соломонович,Чоловік,22.01.1970,Модель,хутір Білогірськ,"парк Кладовищний, буд. 99 кв. 1, Заліщики, 90711",036 379-54-21,bohuslavaiakovenko@example.org
Баранець,Єфрем,Веніяминович,Чоловік,14.04.1999,Драматург,хутір Болград,"провулок Лермонтовський, буд. 076 кв. 69, Калуш, 92720",035 798-81-30,nkhudobiak@example.net
Алексійчук,Теодор,Святославович,Чоловік,10.02.1992,Гірник,місто Київ,"сквер Тимірязєва 3-й, буд. 029, Снятин, 72024",+380 01 387 20 88,venedyktpetryk@example.org
Сацюк,Григорій,Святославович,Чоловік,13.06.1977,Пекар,місто Докучаєвськ,"парк Лиманна, буд. 158, Зіньків, 16686",+380 09 975-06-70,mriabovil@example.org
Єрмоленко,Леопольд,Ігнатович,Чоловік,10.05.1955,Професор,хутір Дубно,"набережна Пассіонарії, буд. 02, Косів, 95205",+380 (67) 933-55-69,omalyshko@example.net
Ісаєвич,Максим,Демидович,Чоловік,17.11.2003,Астроном,місто Дунаївці,"проспект Докова, буд. 43 кв. 545, Вільногірськ, 77722",031 833 46 57,hlib54@example.com
Філіпенко,Спас,Прохорович,Чоловік,06.02.1943,Письменник,селище Алчевськ,"шосе Куяльницький міст, буд. 460 кв. 0, Рубіжне, 55266",084 022-96-25,shcherbakklyment@example.com
Андріїшин,Степан,Васильович,Чоловік,14.08.1972,Агроном,місто Шаргород,"набережна Марата 2-й, буд. 09 кв. 1, Теребовля, 73331",+380 94 074-99-66,boryslavbalaban@example.org
Жайворон,Станіслав,Леонідович,Чоловік,24.12.1963,Підприємець,місто Жовті Води,"шосе Нафтовиків, буд. 28, Червоноград, 13735",036 434 73 57,bohdanna79@example.org
Цушко,Антон,Артемович,Чоловік,10.06.2007,Дипломат,село Мар'їнка,"набережна Лунний, буд. 8 кв. 15, Червоносів, 50218",355-97-29,lukianandriishyn@example.org
Жарко,Антон,Богуславович,Чоловік,19.11.1988,Промисловець,хутір Бобровиця,"проспект Задніпровського, буд. 2 кв. 99, Щолкіне, 18548",+380 44 511-16-88,ievtushokerika@example.net
Наливайко,Алевтин,Лукʼянович,Чоловік,15.08.1939,Фізик,селище Оріхів,"проспект Партизанської Слави, буд. 023, Красноперекопськ, 21326",590-40-98,marta20@example.net
Романець,Симон,Мирославович,Чоловік,04.04.1969,Хореограф,місто Чуднів,"парк Коблевська, буд. 135 кв. 68, Березне, 34887",949 32 87,trokhymkarmaliuk@example.org
Охримович,Стефан,Вікторович,Чоловік,21.05.1974,Фермер,селище Семенівка,"парк Олександра Невського 5-й, буд. 7 кв. 10, Городок, 56110",666-21-15,idakhno@example.com
Тимчук,Назар,Веніяминович,Чоловік,01.10.1990,Музичний редактор,село Павлоград,"проспект Віцеадмірала Азарова, буд. 6 кв. 3, Долина , 71036",+380 83 374 10 17,lchuiko@example.com
Єрьоменко,Симон,Яковович,Чоловік,02.10.1972,Піаніст,місто Берестечко,"площа Мічманський 2-й, буд. 458 кв. 629, Суходільськ, 25296",653-34-38,varvara26@example.com
Теличенко,Марко,Аврелійович,Чоловік,03.11.1953,Геолог,село Зимогір'я,"набережна Красних Зорь, буд. 797 кв. 10, Рогатин, 97253",+380 10 256-29-63,tymofiiiashchenko@example.com
Супруненко,Дан,Богданович,Чоловік,07.05.1981,Художник,хутір Нікополь,"сквер Промислова, буд. 7 кв. 2, Таврійськ, 10294",368-56-78,rudykstepan@example.org
Дурдинець,Василь,Панасович,Чоловік,29.03.1961,Мірошник,село Харків,"узвіз Академіка Сахарова, буд. 9 кв. 407, Новий Калинів, 22021",416-40-08,okseniiabatiuk@example.org
Башполченко,Єфрем,Зорянович,Чоловік,19.07.1983,Адвокат,селище Носівка,"вулиця Восьмого березня 2-й, буд. 563, Острог, 34147",210 21 91,piddubnyimykolai@example.net
Заєць,Орхип,Пантелеймонович,Чоловік,11.03.1971,Стропальник,село Чорноморськ,"площа Морехідний, буд. 2 кв. 715, Хирів, 47887",009 669 08 86,oksanazhadan@example.net
Рябець,Остап,Єфремович,Чоловік,02.01.1949,Фермер,селище Середина-Буда,"провулок Отрада, буд. 134, Привілля, 08021",013 397 53 14,zakharenkoleon@example.org
Харченко,Богодар,Павлович,Чоловік,29.01.2007,Клавішник,селище Дергачі,"провулок Тепличний 2-й, буд. 336, Антрацит , 61827",074 505-11-68,isaienkoviktor@example.net
Вернидуб,Ілля,Несторович,Чоловік,11.07.1986,Музикознавець,місто Ромни,"парк Дзвінка, буд. 121, Торецьк, 31140",089 605-06-68,leonokhrimenko@example.org
Гавриш,Назар,Прохорович,Чоловік,09.08.1942,Прокурор,хутір Липовець,"парк Мусіна, буд. 7, Заводське, 06195",616 85 39,chekaliukteodor@example.com
Мазепа,Ігор,Орхипович,Чоловік,19.10.2005,Астрофізик,хутір Павлоград,"сквер Сталепрокатна, буд. 1, Конотоп, 54029",+380 (40) 645-77-32,maksymiesypenko@example.org
Жарко,Варфоломій,Демʼянович,Чоловік,27.02.1968,Співак,селище Кам'янка-Бузька,"шосе Манежна, буд. 718, Чигирин, 75735",+380 72 046 31 31,levkovenhrynovych@example.org
Верменич,Олександр,Миронович,Чоловік,11.04.1982,Маркетолог,селище Збараж,"парк Елеваторна, буд. 3, Жидачів, 85602",033 618 19 93,ustymdankiv@example.org
